iPos,jPos,Temperature
1,1,90.0
2,1,90.0
3,1,90.0
4,1,90.0
5,1,90.0
6,1,90.0
7,1,90.0
8,1,90.0
9,1,90.0
10,1,90.0
11,1,90.0
12,1,90.0
13,1,90.0
14,1,90.0
15,1,90.0
16,1,90.0
17,1,90.0
18,1,90.0
19,1,90.0
1,2,100.0
2,2,93.01734917789032
3,2,90.14890088694439
4,2,88.8798606714579
5,2,88.29899778503334
6,2,88.02941340477736
7,2,87.90393017942249
8,2,87.8461974979557
9,2,87.82135828642829
10,2,87.81446100384538
11,2,87.8213582864283
12,2,87.84619749795571
13,2,87.90393017942253
14,2,88.02941340477739
15,2,88.29899778503338
16,2,88.87986067145793
17,2,90.1489008869444
18,2,93.01734917789032
19,2,100.0
1,3,100.0
2,3,94.22995880396708
3,3,90.94614628189959
4,3,89.2969359586761
5,3,88.50286031027713
6,3,88.126766545667
7,3,87.9502771427371
8,3,87.86881349802805
9,3,87.83371972096737
10,3,87.82397074765997
11,3,87.83371972096737
12,3,87.86881349802809
13,3,87.95027714273714
14,3,88.12676654566704
15,3,88.50286031027717
16,3,89.29693595867613
17,3,90.94614628189962
18,3,94.22995880396707
19,3,100.0
1,4,100.0
2,4,93.01734917789032
3,4,90.1489008869444
4,4,88.87986067145792
5,4,88.29899778503336
6,4,88.02941340477737
7,4,87.9039301794225
8,4,87.8461974979557
9,4,87.82135828642829
10,4,87.81446100384538
11,4,87.82135828642829
12,4,87.84619749795573
13,4,87.90393017942253
14,4,88.02941340477742
15,4,88.29899778503336
16,4,88.87986067145795
17,4,90.14890088694442
18,4,93.01734917789032
19,4,100.0
1,5,90.0
2,5,90.0
3,5,90.0
4,5,90.0
5,5,90.0
6,5,90.0
7,5,90.0
8,5,90.0
9,5,90.0
10,5,90.0
11,5,90.0
12,5,90.0
13,5,90.0
14,5,90.0
15,5,90.0
16,5,90.0
17,5,90.0
18,5,90.0
19,5,90.0
